Day,Start,Description
1,8:30,Registration  
1,9:30,Announcements
1,9:45,Opening Keynote
1,10:30,Break
1,10:45,Group 1 Talks
1,12:00,Lunch
1,13:00,Announcements
1,13:15,Group 2 Talks
1,14:45,Break
1,15:00,Lightning Talks
1,16:00,Group 3 Talks
1,17:00,Announcements
1,17:15,End
2,8:45,Registration  
2,9:00,Announcements
2,9:15,Group 4 Talks
2,10:50,Break
2,11:10,Lightning Talks
2,12:00,Lunch
2,13:15,Announcements
2,13:30,Group 5 Talks
2,14:30,Breakouts
2,15:45,Break
2,16:00,Posters
2,16:30,Group 6 Talks
2,17:20,Announcements
2,17:30,End
3,8:30,Registration  
3,9:00,Announcements
3,9:15,Closing Keynote
3,10:00,Lightning Talks
3,10:45,Break
3,11:05,Breakouts
3,11:50,Group 7 Talks
3,12:35,Announcements
3,12:45,End
